Date,Open,High,Low,Close,Volume,EMA20,EMA50,EMA200,RSI,MACD,MACD_Signal,ROC,ATR,BB_Width,Vol_MA,Vol_Ratio,Return_1D,Return_5D,Return_10D,Target,Probability,Signal,Position_Change
2025-06-05,1415.77,1442.24,1411.41,1430.05,13716817,0.021,0.0561,0.0842,61.3246,0.013,0.0168,2.3416,0.015,0.0492,10246515.95,1.3387,0.0133,0.0174,0.0234,1,0.5773,1,0
2025-06-06,1428.66,1439.07,1424.7,1431.14,8182161,0.0196,0.0546,0.0841,61.5573,0.0132,0.0161,1.1707,0.0148,0.0397,9972178.8,0.8205,0.0008,0.0159,0.0117,1,0.5536,1,0
2025-06-09,1444.53,1445.02,1432.93,1436.4,7885125,0.0211,0.056,0.0872,62.7231,0.0135,0.0155,0.9757,0.0143,0.0413,9832731.0,0.8019,0.0037,0.0248,0.0098,0,0.5505,1,0
2025-06-10,1437.59,1441.45,1423.7,1426.18,7913181,0.0125,0.0465,0.0786,58.9807,0.0131,0.0151,1.1533,0.0143,0.0412,9657995.25,0.8193,-0.0071,0.0235,0.0115,1,0.5451,1,0
2025-06-11,1433.42,1456.03,1430.74,1436.49,8195700,0.0179,0.0518,0.0854,61.4777,0.0131,0.0147,2.5478,0.0141,0.0424,9789272.25,0.8372,0.0072,0.0178,0.0255,0,0.5487,1,0
2025-06-12,1441.06,1444.53,1422.12,1429.26,8828114,0.0116,0.0446,0.0791,58.7756,0.0127,0.0143,1.6789,0.014,0.0405,9221817.4,0.9573,-0.005,-0.0006,0.0168,0,0.5573,1,0
2025-06-13,1411.81,1423.21,1402.19,1415.67,9757276,0.0018,0.0333,0.0681,53.9735,0.0115,0.0139,0.4926,0.0147,0.037,9257846.45,1.0539,-0.0095,-0.0108,0.0049,1,0.5543,1,0
2025-06-16,1414.68,1430.05,1412.2,1425.49,8458093,0.0079,0.0388,0.0747,56.7249,0.0108,0.0132,1.7045,0.0143,0.0364,9370961.55,0.9026,0.0069,-0.0076,0.017,0,0.5489,1,0
2025-06-17,1435.6,1435.6,1413.59,1418.95,10366599,0.0029,0.0327,0.069,54.3928,0.0099,0.0126,1.8285,0.0149,0.0365,9325763.5,1.1116,-0.0046,-0.0051,0.0183,0,0.5703,1,0
2025-06-18,1417.76,1430.45,1413.49,1417.86,6681735,0.002,0.0306,0.0675,53.9944,0.009,0.0118,0.4641,0.0152,0.0366,9353032.05,0.7144,-0.0008,-0.013,0.0046,1,0.5644,1,0
2025-06-19,1417.86,1427.57,1413.49,1421.03,10007230,0.0038,0.0316,0.0691,55.0262,0.0083,0.0111,-0.6307,0.0148,0.0342,9246670.25,1.0823,0.0022,-0.0058,-0.0063,1,0.574,1,0
2025-06-20,1418.75,1458.41,1415.87,1453.65,29010635,0.0242,0.053,0.0927,63.9786,0.0093,0.0106,1.5729,0.0154,0.0399,10373457.85,2.7966,0.023,0.0268,0.0157,0,0.5829,1,0
2025-06-23,1440.56,1451.27,1429.65,1444.33,5989078,0.0159,0.0443,0.0847,60.2861,0.0097,0.0104,0.5521,0.0155,0.043,10430764.55,0.5742,-0.0064,0.0132,0.0055,0,0.5571,1,0
