Date,Open,High,Low,Close,Volume,EMA20,EMA50,EMA200,RSI,MACD,MACD_Signal,ROC,ATR,BB_Width,Vol_MA,Vol_Ratio,Return_1D,Return_5D,Return_10D,Target
2025-05-09,942.31,946.7,930.82,932.25,17188796,-0.0019,0.0318,0.0915,52.9077,0.0185,0.0217,-1.4139,0.0172,0.117,26936603.7,0.6381,-0.0201,-0.0167,-0.0141,1
2025-05-12,946.01,966.88,943.4,965.55,18618972,0.0304,0.0658,0.129,63.0739,0.0184,0.0204,2.4065,0.0176,0.0979,26089358.7,0.7137,0.0357,0.0105,0.0241,0
2025-05-13,962.0,967.77,947.2,948.48,24242102,0.011,0.045,0.1078,56.3575,0.0174,0.0201,0.1246,0.0178,0.0718,26178733.4,0.926,-0.0177,-0.0047,0.0012,0
2025-05-14,948.23,952.23,938.81,942.56,15445308,0.0043,0.0369,0.0998,54.2019,0.0158,0.0194,0.0945,0.0168,0.0494,25312210.5,0.6102,-0.0062,-0.018,0.0009,1
2025-05-15,943.99,959.43,935.85,954.0,32241458,0.0149,0.0475,0.1119,57.5786,0.0151,0.0183,0.457,0.0176,0.0412,24459366.2,1.3182,0.0121,0.0027,0.0046,1
2025-05-16,954.0,958.94,951.34,954.45,15868010,0.0139,0.046,0.1112,57.7107,0.0146,0.0176,0.6666,0.0167,0.0352,24295925.7,0.6531,0.0005,0.0238,0.0067,1
2025-05-19,955.58,959.53,952.62,956.42,10202964,0.0144,0.0462,0.1122,58.3225,0.0141,0.0168,0.0984,0.0164,0.0344,23020919.7,0.4432,0.0021,-0.0095,0.001,0
2025-05-20,951.19,954.4,943.74,944.68,23879090,0.0018,0.032,0.0975,53.3676,0.0128,0.0162,-0.8699,0.0165,0.0353,22502509.3,1.0612,-0.0123,-0.004,-0.0087,1
2025-05-21,950.65,960.47,947.74,950.55,15132040,0.0072,0.0368,0.1032,55.4075,0.0119,0.0152,-0.9668,0.0165,0.0306,20961023.8,0.7219,0.0062,0.0085,-0.0097,0
2025-05-22,944.83,949.27,939.9,947.15,21306670,0.0033,0.0318,0.0981,53.9358,0.0108,0.0144,-0.4457,0.0166,0.0308,20497825.2,1.0395,-0.0036,-0.0072,-0.0045,1
2025-05-23,947.25,955.58,944.48,953.91,9566072,0.0094,0.0375,0.1048,56.4147,0.0104,0.0135,2.3234,0.0162,0.0306,19679541.1,0.4861,0.0071,-0.0006,0.0232,1
2025-05-26,954.6,961.95,950.6,957.16,10802860,0.0116,0.0394,0.1074,57.5961,0.0102,0.0128,-0.8689,0.0164,0.0304,19294640.2,0.5599,0.0034,0.0008,-0.0087,0
2025-05-27,952.92,961.01,945.37,950.3,26162148,0.004,0.0307,0.0984,54.2532,0.0095,0.0122,0.1919,0.0167,0.0304,19906723.0,1.3142,-0.0072,0.0059,0.0019,0
2025-05-28,947.3,954.35,946.06,948.92,18157594,0.0023,0.028,0.0957,53.5795,0.0086,0.0115,0.6748,0.016,0.0292,19868687.3,0.9139,-0.0015,-0.0017,0.0067,1
2025-05-29,951.14,957.46,940.93,950.9,28917794,0.0039,0.0289,0.0969,54.4534,0.008,0.0108,-0.3249,0.0157,0.0291,19717733.5,1.4666,0.0021,0.004,-0.0032,1
2025-05-30,953.07,961.4,949.86,959.48,28748078,0.0117,0.0367,0.1056,58.1318,0.0081,0.0102,0.527,0.0138,0.0296,20263117.2,1.4187,0.009,0.0058,0.0053,0
2025-06-02,952.18,955.09,941.28,953.17,14668822,0.0046,0.0286,0.0973,54.637,0.0076,0.0097,-0.3398,0.0137,0.0296,20243157.1,0.7246,-0.0066,-0.0042,-0.0034,0
2025-06-03,956.08,962.98,947.2,949.47,24377584,0.0006,0.0237,0.092,52.6387,0.0069,0.0092,0.5071,0.014,0.0298,20587528.5,1.1841,-0.0039,-0.0009,0.0051,1
2025-06-04,947.69,958.69,947.64,957.66,12961542,0.0084,0.0312,0.1003,56.4368,0.0068,0.0086,0.748,0.0129,0.029,20164566.7,0.6428,0.0086,0.0092,0.0075,1
2025-06-05,961.01,966.39,957.16,961.8,22255418,0.0115,0.0342,0.1039,58.259,0.007,0.0083,1.5467,0.013,0.0305,19537166.1,1.1391,0.0043,0.0115,0.0155,1
2025-06-06,959.04,984.84,958.4,976.16,30127008,0.024,0.0476,0.1191,63.8997,0.0082,0.0082,2.3325,0.0142,0.0315,20184076.7,1.4926,0.0149,0.0174,0.0233,1
2025-06-09,984.2,984.2,974.77,976.25,13202588,0.0218,0.0457,0.1179,63.9326,0.0091,0.0084,1.9944,0.014,0.0361,19913257.5,0.663,0.0001,0.0242,0.0199,0
2025-06-10,978.18,978.18,967.47,969.54,15533126,0.0133,0.037,0.109,59.5738,0.0093,0.0086,2.0246,0.0137,0.0383,19477808.7,0.7975,-0.0069,0.0211,0.0202,0
2025-06-11,970.68,970.68,960.52,962.19,11096394,0.0051,0.0279,0.0995,55.1392,0.0087,0.0087,1.3984,0.0138,0.0367,19260363.0,0.5761,-0.0076,0.0047,0.014,0
2025-06-12,962.0,967.42,954.74,958.74,16349130,0.0014,0.0233,0.0945,53.1397,0.0078,0.0085,0.8245,0.0139,0.0368,18465746.6,0.8854,-0.0036,-0.0032,0.0082,0
2025-06-13,947.2,953.61,943.74,946.01,12117762,-0.0108,0.0093,0.0791,46.4466,0.006,0.0081,-1.4039,0.0144,0.0387,18278234.2,0.663,-0.0133,-0.0309,-0.014,1
2025-06-16,949.17,956.52,947.25,954.79,16513746,-0.0015,0.0179,0.0881,51.0281,0.0052,0.0075,0.17,0.0139,0.0384,18593773.3,0.8881,0.0093,-0.022,0.0017,0
2025-06-17,955.58,957.85,946.75,951.93,16978736,-0.004,0.0143,0.084,49.5413,0.0043,0.0069,0.2591,0.0141,0.037,18248755.6,0.9304,-0.003,-0.0182,0.0026,1
2025-06-18,945.72,955.24,945.72,954.05,18433816,-0.0017,0.0159,0.0854,50.6882,0.0037,0.0062,-0.377,0.0136,0.0365,18413844.4,1.0011,0.0022,-0.0085,-0.0038,1
2025-06-19,954.05,960.42,949.96,954.74,16876220,-0.0008,0.016,0.0853,51.078,0.0032,0.0056,-0.734,0.0135,0.0353,18192321.9,0.9277,0.0007,-0.0042,-0.0073,1
2025-06-20,952.92,971.81,952.92,969.25,32900408,0.013,0.0301,0.1007,58.5055,0.004,0.0052,-0.7079,0.0133,0.0362,19359038.7,1.6995,0.0152,0.0246,-0.0071,0
2025-06-23,961.21,965.89,957.95,961.21,11739518,0.0041,0.0207,0.0905,53.6454,0.004,0.005,-1.5406,0.0131,0.0366,19405871.6,0.6049,-0.0083,0.0067,-0.0154,1
2025-06-24,969.4,976.3,964.76,967.37,22625322,0.0095,0.0262,0.0965,56.6189,0.0043,0.0048,-0.2238,0.0133,0.0364,19229030.3,1.1766,0.0064,0.0162,-0.0022,1
2025-06-25,969.89,977.78,968.85,976.9,18405932,0.0176,0.0348,0.1061,60.8074,0.0053,0.0049,1.5288,0.0133,0.0381,19241447.2,0.9566,0.0099,0.024,0.0153,1
2025-06-26,977.49,1000.03,976.8,997.42,50084830,0.0351,0.0542,0.1279,67.977,0.0076,0.0054,4.0345,0.0128,0.0487,20299799.0,2.4673,0.021,0.0447,0.0403,1
2025-06-27,1004.0,1007.39,994.23,1004.95,28213384,0.0387,0.0596,0.1348,70.136,0.0099,0.0062,6.2304,0.013,0.0609,20273064.3,1.3917,0.0075,0.0368,0.0623,0
2025-06-30,1003.25,1004.4,995.27,998.27,13649020,0.0287,0.0504,0.1259,65.892,0.0112,0.0073,4.5539,0.013,0.0669,20222074.2,0.675,-0.0066,0.0386,0.0455,1
2025-07-01,1000.01,1005.5,999.51,1003.55,14389386,0.0308,0.0536,0.1304,67.5628,0.0124,0.0083,5.4227,0.0127,0.0716,19722664.3,0.7296,0.0053,0.0374,0.0542,0
2025-07-02,1007.44,1007.44,986.5,990.54,18878250,0.0157,0.0383,0.1144,59.7908,0.0123,0.0092,3.8247,0.0135,0.0738,20018499.7,0.943,-0.013,0.014,0.0382,1
2025-07-03,994.97,1001.51,989.69,991.08,16860506,0.0147,0.0373,0.1137,59.9965,0.0121,0.0097,3.8063,0.0132,0.0751,19748754.1,0.8538,0.0005,-0.0064,0.0381,1
2025-07-04,991.08,999.26,987.54,992.18,7863944,0.0143,0.0369,0.1137,60.4404,0.0118,0.0102,2.3657,0.0133,0.0769,18635600.9,0.422,0.0011,-0.0127,0.0237,0
2025-07-07,992.03,996.72,989.44,991.23,11349426,0.012,0.0345,0.1114,59.823,0.0114,0.0104,3.1231,0.013,0.0785,18542942.8,0.6121,-0.001,-0.0071,0.0312,1
2025-07-08,986.05,1000.01,986.05,998.22,15224316,0.0173,0.04,0.1179,62.8318,0.0115,0.0106,3.1891,0.0133,0.0805,18527502.3,0.8217,0.0071,-0.0053,0.0319,1
2025-07-09,1001.01,1004.4,996.57,1003.1,13861428,0.0201,0.0433,0.122,64.813,0.0117,0.0108,2.682,0.013,0.0824,18665754.0,0.7426,0.0049,0.0127,0.0268,0
2025-07-10,1005.5,1006.0,997.52,1000.61,17030310,0.0159,0.039,0.1179,62.9686,0.0117,0.011,0.3198,0.0123,0.0827,18699813.0,0.9107,-0.0025,0.0096,0.0032,0
2025-07-11,996.52,999.91,987.99,989.39,12516922,0.0041,0.0263,0.1042,55.3283,0.0108,0.011,-1.5483,0.0125,0.0773,18719771.0,0.6686,-0.0112,-0.0028,-0.0155,0
2025-07-14,989.04,991.88,982.85,989.04,13088850,0.0034,0.0249,0.1027,55.1037,0.0098,0.0108,-0.9246,0.0121,0.0728,18548526.2,0.7057,-0.0004,-0.0022,-0.0092,1
2025-07-15,984.05,999.31,984.05,995.27,14498168,0.0088,0.0301,0.1084,58.3452,0.0093,0.0104,-0.8251,0.0124,0.0661,18424497.8,0.7869,0.0063,-0.003,-0.0083,1
2025-07-16,1006.5,1008.84,993.83,995.67,17994612,0.0083,0.0293,0.1076,58.5522,0.0089,0.0101,0.5179,0.0118,0.059,18402537.6,0.9778,0.0004,-0.0074,0.0052,0
2025-07-17,999.51,999.91,988.89,990.98,22529158,0.0032,0.0234,0.1013,55.0963,0.0082,0.0098,-0.0101,0.0117,0.0498,18685184.5,1.2057,-0.0047,-0.0096,-0.0001,0
2025-07-18,990.98,996.02,974.08,976.27,16129446,-0.0106,0.0079,0.084,45.9382,0.0064,0.0092,-1.6035,0.0127,0.0483,17846636.4,0.9038,-0.0148,-0.0133,-0.016,1
2025-07-21,986.64,998.52,985.8,997.77,22309078,0.0101,0.0289,0.1067,57.1494,0.0064,0.0085,0.6598,0.0135,0.0386,18375114.4,1.2141,0.022,0.0088,0.0066,1
2025-07-22,1004.05,1006.5,999.01,1001.06,14836814,0.0121,0.031,0.1092,58.5654,0.0067,0.0081,0.2845,0.0126,0.031,17985689.0,0.8249,0.0033,0.0058,0.0028,1
