Date,Open,High,Low,Close,Volume,EMA20,EMA50,EMA200,RSI,MACD,MACD_Signal,ROC,ATR,BB_Width,Vol_MA,Vol_Ratio,Return_1D,Return_5D,Return_10D,Target,Probability,Signal,Position_Change
2024-09-23,4016.86,4025.65,3972.96,3987.44,1702319,-0.0329,-0.0158,0.0679,34.8378,-0.0025,0.0064,-4.069,0.0198,0.0816,2003917.45,0.8495,-0.0038,-0.0542,-0.0407,1,0.5202,1,2
2024-09-24,3971.7,4008.46,3960.82,3990.05,3012026,-0.0293,-0.0146,0.0679,35.2372,-0.0046,0.0042,-5.2476,0.0194,0.0901,2107983.9,1.4289,0.0007,-0.052,-0.0525,1,0.5253,1,0
2024-09-25,3972.35,4007.15,3960.82,3993.28,2713073,-0.0259,-0.0133,0.068,35.7619,-0.0062,0.0021,-4.5677,0.0195,0.0961,2151234.65,1.2612,0.0008,-0.0164,-0.0457,1,0.5189,-1,-2
2024-09-26,3979.5,4032.56,3979.5,4009.86,3964251,-0.0198,-0.0088,0.0717,38.5158,-0.007,0.0003,-4.9848,0.019,0.0988,2242765.15,1.7676,0.0042,-0.0008,-0.0498,1,0.5333,1,2
2024-09-27,4049.56,4089.73,4016.91,4024.99,3012477,-0.0146,-0.0049,0.0749,41.0013,-0.0073,-0.0012,-4.7297,0.0194,0.0972,2211527.9,1.3622,0.0038,0.0056,-0.0473,0,0.5141,-1,-2
2024-09-30,4004.63,4015.7,3979.54,3987.44,2503416,-0.0216,-0.0136,0.0642,37.0032,-0.0082,-0.0026,-5.4228,0.0187,0.0996,2275873.7,1.1,-0.0093,0.0,-0.0542,1,0.5294,1,2
2024-10-01,3975.34,4012.89,3963.57,4005.56,1823365,-0.0155,-0.0088,0.0683,40.0416,-0.0084,-0.0038,-4.8328,0.0182,0.0987,2281178.8,0.7993,0.0045,0.0039,-0.0483,0,0.5343,1,0
2024-10-03,3981.93,3997.25,3932.79,3954.04,3350119,-0.0256,-0.0207,0.054,34.8891,-0.0096,-0.005,-2.6094,0.0181,0.1032,2385409.5,1.4044,-0.0129,-0.0098,-0.0261,1,0.5367,1,0
2024-10-04,3946.8,4015.0,3945.92,3972.26,2965463,-0.0191,-0.0156,0.0582,37.931,-0.01,-0.006,-1.0219,0.0185,0.1036,2449243.0,1.2108,0.0046,-0.0094,-0.0102,1,0.5229,1,0
2024-10-07,3992.48,4014.3,3950.91,3991.5,1472619,-0.013,-0.0104,0.0627,41.0622,-0.0098,-0.0067,-0.2813,0.0187,0.1029,2440415.0,0.6034,0.0048,-0.0083,-0.0028,0,0.5294,1,0
2024-10-08,3991.27,3997.62,3927.14,3973.19,1541867,-0.0159,-0.0143,0.0572,39.0436,-0.0099,-0.0074,-0.3574,0.0189,0.1035,2458261.45,0.6272,-0.0046,-0.0036,-0.0036,0,0.5184,-1,-2
2024-10-09,3979.5,4012.19,3967.07,3972.91,1082504,-0.0145,-0.0138,0.0565,39.012,-0.0099,-0.0079,-0.4296,0.0166,0.0989,2443107.1,0.4431,-0.0001,-0.0082,-0.0043,0,0.5114,-1,0
2024-10-10,3973.19,4011.12,3922.14,3949.05,2378875,-0.0185,-0.019,0.0496,36.316,-0.0103,-0.0084,-1.1076,0.0159,0.0966,2495754.9,0.9532,-0.006,-0.0013,-0.0111,0,0.5306,1,2
