Date,Open,High,Low,Close,Volume,EMA20,EMA50,EMA200,RSI,MACD,MACD_Signal,ROC,ATR,BB_Width,Vol_MA,Vol_Ratio,Return_1D,Return_5D,Return_10D,HL_Spread,Close_Position,RSI_Lag_1,RSI_Lag_2,Return_1D_Lag_1,Return_1D_Lag_2,MACD_Lag_1,MACD_Lag_2,Vol_Ratio_Lag_1,Vol_Ratio_Lag_2,Target,Probability,Signal,Position_Change
2025-10-09,974.5,979.0,970.15,977.1,15370950,0.0104,0.0071,0.0474,57.3233,0.0007,-0.0029,2.7391,0.0143,0.0438,20519830.25,0.7491,-0.0016,0.0123,0.0274,0.0091,0.7853,58.6869,61.9363,-0.0039,0.0093,-0.0001,-0.0014,0.7717,1.2421,1,0.5663,1,0
2025-10-10,979.0,986.2,978.1,980.9,13757080,0.0129,0.0106,0.0509,59.7173,0.0017,-0.0019,3.2689,0.0139,0.046,20452002.6,0.6727,0.0039,0.0163,0.0327,0.0083,0.3457,57.3233,58.6869,-0.0016,-0.0039,0.0007,-0.0001,0.7491,0.7717,0,0.5058,-1,-2
2025-10-13,974.3,981.0,972.0,977.0,18634254,0.0081,0.0063,0.0463,56.2309,0.0021,-0.0011,3.3808,0.0139,0.0474,20665539.35,0.9017,-0.004,0.0036,0.0338,0.0092,0.5556,59.7173,57.3233,0.0039,-0.0016,0.0017,0.0007,0.6727,0.7491,1,0.4937,-1,0
2025-10-14,970.0,980.45,967.0,977.15,22934382,0.0074,0.0062,0.0459,56.3365,0.0024,-0.0004,2.8254,0.0139,0.0486,21087939.6,1.0876,0.0002,-0.0054,0.0283,0.0138,0.7546,56.2309,59.7173,-0.004,0.0039,0.0021,0.0017,0.9017,0.6727,1,0.5404,1,2
2025-10-15,975.0,984.9,973.35,978.25,23310447,0.0077,0.007,0.0466,57.1528,0.0028,0.0002,2.8654,0.0137,0.0498,21320372.25,1.0933,0.0011,-0.0005,0.0287,0.0118,0.4242,56.3365,56.2309,0.0002,-0.004,0.0024,0.0021,1.0876,0.9017,1,0.5633,1,0
2025-10-16,982.65,996.6,981.5,994.35,22936566,0.022,0.0227,0.0632,66.9051,0.0042,0.001,3.0148,0.0141,0.0549,21599126.75,1.0619,0.0165,0.0177,0.0301,0.0152,0.851,57.1528,56.3365,0.0011,0.0002,0.0028,0.0024,1.0933,1.0876,1,0.5908,1,0
2025-10-17,993.95,1009.0,986.0,1002.55,25210511,0.0274,0.0298,0.0712,70.5782,0.006,0.002,3.875,0.0149,0.0622,21970072.4,1.1475,0.0082,0.0221,0.0388,0.0229,0.7196,66.9051,57.1528,0.0165,0.0011,0.0042,0.0028,1.0619,1.0933,1,0.5593,1,0
2025-10-20,997.0,1020.0,997.0,1002.95,22195202,0.0251,0.029,0.0708,70.7487,0.0073,0.0031,3.0305,0.0152,0.0689,21517669.15,1.0315,0.0004,0.0266,0.0303,0.0229,0.2587,70.5782,66.9051,0.0082,0.0165,0.006,0.0042,1.1475,1.0619,1,0.5509,1,0
2025-10-21,1006.0,1010.0,1004.0,1007.7,3471600,0.027,0.0325,0.0751,72.7675,0.0086,0.0042,2.5649,0.0147,0.0754,21148528.4,0.1642,0.0047,0.0313,0.0256,0.006,0.6167,70.7487,70.5782,0.0004,0.0082,0.0073,0.006,1.0315,1.1475,1,0.5432,1,0
2025-10-23,1016.0,1020.5,1006.0,1008.8,43526526,0.0254,0.0323,0.0755,73.2283,0.0096,0.0053,3.0755,0.014,0.0799,22273739.8,1.9542,0.0011,0.0312,0.0308,0.0144,0.1931,72.7675,70.7487,0.0047,0.0004,0.0086,0.0073,0.1642,1.0315,0,0.4955,-1,-2
