Date,Open,High,Low,Close,Volume,EMA20,EMA50,EMA200,RSI,MACD,MACD_Signal,ROC,ATR,BB_Width,Vol_MA,Vol_Ratio,Return_1D,Return_5D,Return_10D,HL_Spread,Close_Position,RSI_Lag_1,RSI_Lag_2,Return_1D_Lag_1,Return_1D_Lag_2,MACD_Lag_1,MACD_Lag_2,Vol_Ratio_Lag_1,Vol_Ratio_Lag_2,Target,Probability,Signal,Position_Change
2026-03-30,24.1,24.12,22.52,22.8,65284041,-0.0695,-0.1854,-0.4454,37.9414,-0.0562,-0.0682,-1.1704,0.0655,0.1127,59601807.25,1.0953,-0.0606,-0.0754,-0.0117,0.0702,0.175,43.8213,41.4722,0.0172,0.0262,-0.0525,-0.0586,1.8483,1.0532,1,0.4119,-1,0
2026-04-01,23.99,26.36,23.17,25.89,247154058,0.051,-0.0722,-0.3679,52.3998,-0.0395,-0.0559,6.4994,0.0638,0.1119,69265399.9,3.5682,0.1355,0.1102,0.065,0.1232,0.8527,37.9414,43.8213,-0.0606,0.0172,-0.0562,-0.0525,1.0953,1.8483,1,0.4685,-1,0
2026-04-02,25.62,28.62,25.06,28.34,456246744,0.1342,0.0149,-0.3059,60.2979,-0.0217,-0.0452,20.1866,0.0638,0.1715,88907280.25,5.1317,0.0946,0.2189,0.2019,0.1256,0.9213,52.3998,37.9414,0.1355,-0.0606,-0.0395,-0.0562,3.5682,1.0953,1,0.3828,-1,0
2026-04-06,28.8,30.4,28.63,29.19,345163844,0.1498,0.0435,-0.2831,62.6155,-0.0076,-0.0366,17.4175,0.0651,0.2262,97600723.25,3.5365,0.03,0.2234,0.1742,0.0606,0.3164,60.2979,52.3998,0.0946,0.1355,-0.0217,-0.0395,5.1317,3.5682,0,0.3705,-1,0
2026-04-07,28.69,29.79,28.26,28.83,134261031,0.1211,0.0294,-0.2899,60.9916,0.0022,-0.0292,22.7853,0.0674,0.2667,101899850.2,1.3176,-0.0123,0.1879,0.2279,0.0531,0.3725,62.6155,60.2979,0.03,0.0946,-0.0076,-0.0217,3.5365,5.1317,1,0.3761,-1,0
2026-04-08,30.0,31.72,29.23,30.27,260745818,0.1576,0.0774,-0.2525,64.9117,0.0132,-0.0196,22.7494,0.0626,0.3025,113516521.2,2.297,0.0499,0.3276,0.2275,0.0823,0.4177,60.9916,62.6155,-0.0123,0.03,0.0022,-0.0076,1.3176,3.5365,1,0.3684,-1,0
2026-04-09,30.5,36.32,30.3,36.32,786402928,0.3393,0.2781,-0.1022,75.8791,0.0314,-0.0068,55.7461,0.0623,0.3725,150986997.45,5.2084,0.1999,0.4029,0.5575,0.1657,1.0,64.9117,60.9916,0.0499,-0.0123,0.0132,0.0022,2.297,1.3176,1,0.3568,-1,0
2026-04-10,36.72,41.88,35.7,40.88,1034293039,0.438,0.4142,0.0104,80.7604,0.0507,0.0053,75.828,0.0634,0.4681,199989762.7,5.1717,0.1256,0.4425,0.7583,0.1512,0.8382,75.8791,64.9117,0.1999,0.0499,0.0314,0.0132,5.2084,2.297,0,0.2914,-1,0
2026-04-13,39.79,39.79,37.7,38.27,378679869,0.3032,0.3073,-0.0536,71.8037,0.0671,0.0179,60.394,0.0708,0.5665,216566804.85,1.7486,-0.0638,0.3111,0.6039,0.0546,0.2727,80.7604,75.8791,0.1256,0.1999,0.0507,0.0314,5.1717,5.2084,1,0.3044,-1,0
2026-04-15,39.14,40.66,38.1,38.59,280787873,0.2759,0.302,-0.0452,72.2106,0.0766,0.0296,59.0029,0.0715,0.6136,228413534.2,1.2293,0.0084,0.3385,0.59,0.0663,0.1914,71.8037,80.7604,-0.0638,0.1256,0.0671,0.0507,1.7486,5.1717,1,0.3429,-1,0
