Date,Open,High,Low,Close,Volume
2017-10-16,1029.87,1043.96,1029.87,1041.7,1218590
2017-10-17,1041.94,1054.02,1038.94,1045.79,1443016
2017-10-18,1045.97,1053.49,1039.93,1042.59,1514144
2017-10-19,1044.77,1046.3,1036.3,1041.5,86822
2017-10-23,1041.54,1059.68,1026.81,1043.11,1886088
2017-10-24,1056.05,1056.41,1035.51,1039.28,1339020
2017-10-25,1042.15,1056.5,1032.66,1034.64,1105106
2017-10-26,1024.61,1038.37,1017.66,1026.13,3007552
2017-10-27,1025.78,1048.07,1022.67,1044.5,1409270
2017-10-30,1045.18,1058.93,1043.45,1057.39,1137252
2017-10-31,1051.37,1067.01,1051.37,1060.54,1592634
2017-11-01,1060.54,1061.7,1042.29,1051.99,741882
2017-11-02,1054.28,1080.75,1053.57,1061.41,1468422
2017-11-03,1063.94,1065.68,1051.97,1058.97,666886
2017-11-06,1058.93,1079.86,1055.59,1077.34,1377000
2017-11-07,1079.13,1118.74,1077.54,1095.32,2696892
2017-11-08,1100.56,1115.11,1098.64,1105.41,1402252
2017-11-09,1111.47,1111.47,1099.06,1105.97,1152432
2017-11-10,1100.23,1101.77,1088.57,1094.8,1356566
2017-11-13,1092.09,1122.54,1092.09,1115.09,1496996
2017-11-14,1114.12,1114.12,1094.29,1097.16,1657252
2017-11-15,1093.68,1113.49,1091.81,1093.4,6670834
2017-11-16,1095.3,1116.72,1085.99,1110.11,1653482
2017-11-17,1110.7,1110.7,1092.72,1094.21,1325464
2017-11-20,1097.32,1102.13,1089.36,1092.65,1014498
2017-11-21,1091.66,1091.66,1077.52,1080.33,1527740
2017-11-22,1080.35,1095.18,1080.1,1083.44,1822624
2017-11-23,1083.58,1088.43,1078.73,1083.68,793470
2017-11-24,1083.98,1092.43,1080.39,1086.43,2287512
2017-11-27,1086.41,1089.6,1075.98,1085.54,1856786
2017-11-28,1085.6,1092.23,1079.14,1085.32,911716
2017-11-29,1082.17,1088.43,1071.05,1074.35,1447532
2017-11-30,1072.53,1077.9,1060.14,1065.8,4299962
2017-12-01,1064.99,1078.33,1059.53,1062.95,1031144
2017-12-04,1059.73,1074.49,1052.04,1063.92,1259104
2017-12-05,1063.37,1071.74,1062.22,1065.21,1167914
2017-12-06,1065.39,1069.03,1056.04,1064.3,1407518
2017-12-07,1063.9,1069.41,1056.91,1057.81,1326300
2017-12-08,1058.12,1069.03,1049.63,1051.45,1385548
2017-12-11,1054.22,1080.21,1054.22,1075.54,1008002
2017-12-12,1075.5,1075.9,1053.83,1055.75,1882246
2017-12-13,1055.45,1071.64,1051.25,1062.32,2961458
2017-12-14,1063.78,1063.78,1023.0,1033.79,5504150
2017-12-15,1036.19,1044.56,1025.32,1028.86,2718138
2017-12-18,1025.38,1046.38,1008.14,1042.96,2180664
2017-12-19,1041.14,1049.95,1036.58,1040.86,1801952
2017-12-20,1043.57,1047.91,1030.9,1046.38,1577570
2017-12-21,1045.59,1054.08,1042.78,1049.1,1293648
2017-12-22,1052.46,1076.67,1046.88,1069.74,3665664
2017-12-26,1085.6,1087.12,1063.61,1070.83,2175786
2017-12-27,1070.83,1074.49,1055.09,1058.89,739284
2017-12-28,1054.4,1072.47,1053.13,1061.74,2605088
2017-12-29,1060.18,1094.86,1058.34,1091.74,2609542
2018-01-01,1084.11,1089.16,1064.99,1069.27,1351760
2018-01-02,1075.09,1078.97,1059.01,1063.45,1920290
2018-01-03,1063.78,1078.73,1063.45,1066.46,1257120
2018-01-04,1071.05,1075.9,1067.01,1073.92,913082
2018-01-05,1071.05,1091.06,1071.05,1086.9,1153706
2018-01-08,1091.26,1102.11,1083.92,1097.08,1242220
2018-01-09,1097.32,1099.75,1081.78,1094.9,2149396
2018-01-10,1095.71,1138.14,1089.1,1134.34,3365850
2018-01-11,1135.72,1140.53,1124.48,1127.84,2520744
2018-01-12,1133.7,1133.7,1107.65,1122.12,3360314
2018-01-15,1122.44,1134.91,1105.43,1109.89,1457214
2018-01-16,1113.89,1156.59,1111.69,1152.23,4267752
2018-01-17,1159.97,1182.2,1156.8,1167.63,4280806
2018-01-18,1170.88,1185.43,1159.18,1179.45,2209478
2018-01-19,1184.44,1205.24,1173.57,1196.06,1820000
2018-01-22,1199.59,1269.96,1183.79,1262.54,4367110
2018-01-23,1261.96,1273.06,1251.87,1256.71,3239610
2018-01-24,1251.85,1320.33,1248.87,1286.12,5621538
2018-01-25,1286.28,1288.23,1248.2,1264.43,3833844
2018-01-29,1268.62,1306.54,1264.81,1295.95,3141060
2018-01-30,1288.31,1297.95,1273.6,1277.31,1574758
2018-01-31,1270.89,1276.16,1255.33,1260.9,3043214
2018-02-01,1265.62,1292.36,1251.36,1271.54,2400630
2018-02-02,1264.0,1292.36,1257.3,1277.63,2456490
2018-02-05,1259.95,1291.55,1246.52,1257.2,2757742
2018-02-06,1219.44,1246.64,1209.31,1214.27,2657306
2018-02-07,1226.32,1227.95,1194.1,1197.18,2180324
2018-02-08,1207.18,1226.57,1198.78,1204.93,2755004
2018-02-09,1195.13,1212.96,1173.52,1203.92,2102458
2018-02-12,1206.59,1224.85,1197.38,1202.14,1974562
2018-02-14,1203.23,1205.04,1171.83,1179.65,2847532
2018-02-15,1187.82,1192.29,1176.94,1185.35,2465236
2018-02-16,1184.19,1215.22,1184.19,1188.26,2515756
2018-02-19,1193.1,1196.47,1172.93,1184.43,1568224
2018-02-20,1186.22,1209.33,1186.18,1193.0,1889068
2018-02-21,1204.85,1240.75,1199.2,1232.52,3089228
2018-02-22,1236.45,1247.39,1224.5,1235.72,3463010
2018-02-23,1235.64,1251.44,1212.19,1246.09,3362500
2018-02-26,1245.77,1251.83,1223.97,1228.23,1363882
2018-02-27,1232.0,1247.21,1228.35,1232.54,1717800
2018-02-28,1229.57,1241.29,1224.08,1229.59,2706864
2018-03-01,1235.24,1240.18,1223.49,1230.66,1718124
2018-03-05,1235.24,1261.43,1228.73,1258.27,2858168
2018-03-06,1264.81,1266.84,1227.6,1232.73,1906764
2018-03-07,1243.75,1251.44,1222.88,1226.51,1917772
2018-03-08,1237.63,1237.63,1210.32,1216.99,1951826
2018-03-09,1217.41,1240.99,1206.15,1229.2,1872436
2018-03-12,1232.81,1249.38,1229.77,1236.51,2091340
2018-03-13,1184.96,1190.96,1163.53,1169.53,88067154
2018-03-14,1172.02,1184.21,1164.77,1169.57,3668668
2018-03-15,1172.85,1175.91,1156.89,1162.6,2348906
2018-03-16,1162.23,1163.53,1136.39,1144.77,7197482
2018-03-19,1146.11,1153.81,1142.46,1146.92,3489940
2018-03-20,1142.46,1164.02,1142.06,1160.63,4024984
2018-03-21,1163.73,1168.51,1154.62,1157.35,3907678
2018-03-22,1158.65,1165.13,1143.5,1147.06,2326094
2018-03-23,1135.17,1148.18,1133.57,1141.71,3654122
2018-03-26,1142.06,1145.46,1126.89,1141.25,2964210
2018-03-27,1144.49,1159.88,1143.7,1153.68,2494574
2018-03-28,1148.9,1164.74,1144.49,1154.27,6865654
2018-04-02,1150.57,1180.55,1150.57,1178.78,1662988
2018-04-03,1171.67,1186.99,1171.67,1179.43,1937290
2018-04-04,1186.8,1188.65,1171.63,1179.29,2841820
2018-04-05,1185.63,1200.7,1183.12,1198.35,1809424
2018-04-06,1196.75,1199.18,1185.63,1195.25,1129018
2018-04-09,1190.96,1200.6,1180.95,1184.56,1235866
2018-04-10,1185.29,1198.07,1185.29,1190.11,1184532
2018-04-11,1195.37,1225.51,1193.35,1221.12,3124416
2018-04-12,1219.44,1276.16,1218.61,1271.8,6114360
2018-04-13,1276.16,1312.94,1268.9,1277.49,8179118
2018-04-16,1262.38,1296.39,1260.25,1291.41,6270274
2018-04-17,1291.41,1294.37,1275.02,1282.88,3301724
2018-04-18,1282.64,1293.76,1274.47,1279.84,2433066
2018-04-19,1288.27,1303.38,1282.54,1292.83,4820952
2018-04-20,1316.67,1386.49,1312.62,1378.43,18465662
2018-04-23,1387.16,1441.41,1373.2,1380.94,15185910
2018-04-24,1381.49,1394.92,1354.14,1371.62,8314336
2018-04-25,1371.36,1411.06,1363.28,1405.9,8196574
2018-04-26,1404.58,1442.26,1404.58,1433.85,12135034
2018-04-27,1428.08,1435.78,1385.54,1398.48,4501330
2018-04-30,1398.48,1437.8,1392.67,1430.96,3458558
2018-05-02,1430.31,1431.0,1406.32,1417.85,3158046
2018-05-03,1421.92,1428.48,1405.96,1410.6,3761550
2018-05-04,1414.71,1416.73,1405.8,1410.15,2347244
2018-05-07,1413.9,1413.9,1381.85,1385.93,3484426
2018-05-08,1391.5,1412.48,1376.1,1394.13,2992820
2018-05-09,1393.72,1415.82,1393.72,1413.62,2615050
2018-05-10,1419.15,1422.47,1393.72,1398.2,3858678
2018-05-11,1399.4,1411.87,1394.66,1400.51,2627876
2018-05-14,1400.53,1406.2,1381.81,1391.03,2433894
2018-05-15,1397.69,1416.25,1391.09,1410.82,1952890
2018-05-16,1409.83,1421.6,1407.92,1415.48,1648450
2018-05-17,1423.2,1431.38,1408.23,1414.63,2968048
2018-05-18,1410.17,1425.12,1400.93,1418.78,1874996
2018-05-21,1429.58,1455.22,1425.26,1440.94,3446178
2018-05-22,1441.45,1448.31,1415.4,1421.56,1857416
