Date,Open,High,Low,Close,Volume
2020-05-20,633.82,650.38,626.17,644.47,55320985
2020-05-21,645.05,656.94,640.56,647.86,39167981
2020-05-22,652.61,655.39,641.23,643.5,37828973
2020-05-26,650.97,651.66,636.65,640.13,33216635
2020-05-27,643.26,653.6,634.72,649.8,35667956
2020-05-28,654.04,665.17,651.35,661.8,40126278
2020-05-29,659.89,661.69,652.99,658.27,40022527
2020-06-01,665.28,691.51,663.46,683.42,39943702
2020-06-02,685.96,692.25,683.62,690.32,22153960
2020-06-03,694.5,701.24,689.26,693.0,25381289
2020-06-04,694.05,714.5,692.7,710.14,34202350
2020-06-05,716.98,727.32,707.4,711.0,33076685
2020-06-08,727.5,727.5,703.49,705.51,31414953
2020-06-09,701.38,711.58,689.11,690.97,25857161
2020-06-10,693.65,710.03,692.28,706.71,22132647
2020-06-11,703.94,704.82,688.21,691.22,20385805
2020-06-12,674.27,716.08,672.92,714.19,38548899
2020-06-15,703.49,731.34,701.74,725.76,53107403
2020-06-16,738.55,741.05,712.62,727.18,51187003
2020-06-17,722.93,735.16,720.17,726.12,41782053
2020-06-18,722.37,748.44,721.74,744.35,40471557
2020-06-19,750.69,804.09,747.09,790.88,105804173
2020-06-22,797.17,811.02,779.91,784.92,60198705
2020-06-23,786.65,792.83,771.41,773.57,37962078
2020-06-24,780.31,796.86,769.44,776.69,51586221
2020-06-25,776.31,786.2,770.04,772.22,39679374
2020-06-26,777.12,787.55,771.82,782.9,30921913
2020-06-29,776.78,782.04,771.17,774.58,25621946
2020-06-30,780.81,782.61,762.18,766.02,30276420
2020-07-01,773.17,786.2,767.79,781.08,28464103
2020-07-02,786.69,797.8,783.11,794.52,28789533
2020-07-03,803.3,809.26,797.98,806.96,29434266
2020-07-06,814.68,838.6,808.85,835.8,47016185
2020-07-07,839.5,841.46,815.26,823.0,35189589
2020-07-08,823.27,828.19,807.91,811.52,26204095
2020-07-09,816.48,828.22,806.21,823.37,36418942
2020-07-10,825.28,850.6,823.37,847.65,43759967
2020-07-13,859.07,879.08,857.55,873.35,69608392
2020-07-14,872.9,876.38,851.82,865.23,67331128
2020-07-15,874.68,893.12,811.52,832.28,139669773
2020-07-16,833.63,843.56,818.04,832.01,60961724
2020-07-17,832.73,866.58,829.57,862.84,49726765
2020-07-20,865.59,872.0,857.4,866.54,36592938
2020-07-21,875.16,892.31,874.03,889.85,42173371
2020-07-22,895.02,907.2,884.95,904.49,59771457
2020-07-23,904.47,938.66,898.78,928.78,58333751
2020-07-24,928.87,976.26,928.78,968.65,120597372
2020-07-27,983.39,992.42,960.42,973.19,80304827
2020-07-28,973.19,990.25,970.68,982.89,55114422
2020-07-29,982.98,985.19,934.49,946.31,72663399
2020-07-30,947.37,965.74,935.19,951.82,72857444
2020-07-31,954.37,960.91,926.52,932.97,74958061
2020-08-03,925.84,928.42,904.09,906.75,46715383
2020-08-04,911.99,978.06,902.8,970.66,92041055
2020-08-05,978.97,991.15,956.08,959.76,74549993
2020-08-06,973.55,978.38,951.34,963.21,49322975
2020-08-07,961.27,973.91,956.94,968.79,32984416
2020-08-10,974.5,977.16,951.48,956.78,26958997
2020-08-11,963.53,974.9,947.98,963.08,46828306
2020-08-12,957.3,968.13,950.89,960.28,30264617
2020-08-13,960.46,965.38,952.34,957.78,24830322
2020-08-14,958.0,973.55,942.97,954.05,33224635
2020-08-17,950.08,950.08,934.33,943.92,30979066
2020-08-18,941.05,963.3,939.86,956.2,30547672
2020-08-19,966.33,972.2,957.46,962.06,34087543
2020-08-20,956.85,958.61,942.41,946.49,22537845
2020-08-21,955.95,957.75,937.44,939.63,25280895
2020-08-24,943.94,949.85,934.51,945.91,32717218
2020-08-25,950.53,952.92,937.89,939.74,19388008
2020-08-26,941.05,969.47,923.9,964.66,59870421
2020-08-27,969.49,970.39,949.29,952.61,28085062
2020-08-28,956.85,962.67,950.64,955.11,27166900
2020-08-31,981.22,981.22,929.93,939.11,62076132
2020-09-01,947.82,957.93,930.85,942.07,38616258
2020-09-02,944.21,964.97,941.05,960.55,26949439
2020-09-03,960.46,965.31,949.18,953.28,18586429
2020-09-04,940.4,946.45,935.28,937.56,28475945
2020-09-07,940.6,950.42,922.66,939.99,21926473
2020-09-08,944.21,957.3,939.02,951.03,27397082
2020-09-09,941.05,978.42,939.45,975.51,55310877
2020-09-10,985.33,1058.38,981.83,1044.41,140304404
2020-09-11,1043.51,1055.18,1032.27,1047.01,59470807
2020-09-14,1049.38,1065.17,1029.97,1039.24,44063445
2020-09-15,1043.49,1049.71,1032.74,1046.6,27178393
2020-09-16,1047.12,1069.39,1042.85,1049.17,33952295
