Date,Open,High,Low,Close,Volume
2019-12-09,591.75,591.91,586.09,588.65,8265350
2019-12-10,592.46,593.71,589.66,591.75,9788900
2019-12-11,592.03,593.88,588.43,591.39,11054642
2019-12-12,593.41,601.2,593.41,598.43,12913148
2019-12-13,599.09,602.57,596.37,598.54,11775186
2019-12-16,601.1,601.46,591.13,595.47,11327576
2019-12-17,596.72,603.73,594.52,601.98,12427354
2019-12-18,607.61,615.19,603.19,612.04,17447172
2019-12-19,618.03,618.27,609.08,610.36,13018376
2019-12-20,610.34,615.47,606.22,614.1,15026044
2019-12-23,615.19,617.56,610.36,616.8,10195782
2019-12-24,615.0,616.19,609.48,610.53,7179208
2019-12-26,610.79,611.8,598.92,601.67,14949758
2019-12-27,602.4,605.72,601.46,603.82,7092992
2019-12-30,607.14,610.34,603.37,607.21,9334190
2019-12-31,607.12,607.12,600.82,602.45,8357056
2020-01-01,604.35,606.19,601.74,605.53,3673698
2020-01-02,605.72,609.98,605.72,609.39,6137166
2020-01-03,607.23,608.56,598.43,600.7,10855550
2020-01-06,596.72,597.57,585.35,587.7,10890186
2020-01-07,596.2,602.14,593.05,597.0,14724494
2020-01-08,590.54,597.74,587.27,595.44,11332110
2020-01-09,599.09,604.2,598.19,602.12,9546316
2020-01-10,608.13,609.46,603.87,607.47,9214580
2020-01-13,607.47,614.01,604.3,609.03,7451568
2020-01-14,610.45,612.14,605.01,610.69,7886290
2020-01-15,609.22,609.96,603.4,608.21,11787448
2020-01-16,607.16,611.4,605.88,609.82,7150400
2020-01-17,607.02,608.51,602.36,605.32,16918814
2020-01-20,617.96,617.96,593.17,594.31,22178450
2020-01-21,591.98,591.98,586.49,589.31,14984804
2020-01-22,591.06,594.35,584.6,587.65,18368310
2020-01-23,587.25,590.49,582.99,589.55,11508920
2020-01-24,590.09,593.88,586.82,589.4,11831756
2020-01-27,584.88,584.88,573.87,574.56,18888552
2020-01-28,577.21,581.47,574.58,579.29,13412158
2020-01-29,580.29,588.2,578.84,585.28,13788350
2020-01-30,586.75,586.75,576.45,580.64,12111984
2020-01-31,583.2,586.21,577.9,580.76,11178268
2020-02-03,566.88,567.33,557.74,564.9,13077010
2020-02-04,567.36,584.41,567.36,582.42,20897704
2020-02-05,584.83,591.04,581.23,589.45,18020682
2020-02-06,589.45,591.37,585.92,587.15,11827550
2020-02-07,590.09,590.56,583.27,588.29,6815448
2020-02-10,588.65,588.65,580.64,587.39,9219834
2020-02-11,588.81,594.35,586.33,587.53,11613520
2020-02-12,589.71,593.36,589.17,591.51,6297930
2020-02-13,596.67,596.67,584.22,587.91,9112140
2020-02-14,588.76,591.23,575.41,577.47,14688858
2020-02-17,580.15,583.93,575.15,576.43,10152690
2020-02-18,576.31,577.07,569.96,574.58,10529116
2020-02-19,578.96,582.51,574.89,581.19,10012268
2020-02-20,582.51,582.51,574.98,576.4,11123414
2020-02-24,572.54,575.29,568.31,573.02,16568084
2020-02-25,570.2,572.57,567.36,568.45,13886680
2020-02-26,567.12,570.53,561.51,567.95,13814786
2020-02-27,565.94,569.49,559.31,568.04,20655098
2020-02-28,556.7,561.2,554.15,557.72,24313056
2020-03-02,568.4,568.85,552.27,558.64,14664898
2020-03-03,556.47,561.37,553.15,559.69,22369550
2020-03-04,558.05,558.83,536.62,544.08,34288870
2020-03-05,546.05,551.73,541.19,545.27,19549708
2020-03-06,532.79,540.32,521.42,537.47,23053566
2020-03-09,525.68,529.66,504.37,524.4,34420590
2020-03-11,523.31,530.42,517.16,527.48,35538240
2020-03-12,509.11,511.47,475.22,483.68,59000770
2020-03-13,464.14,512.16,435.32,506.64,66342364
2020-03-16,490.16,491.11,471.22,473.35,31986322
2020-03-17,477.38,478.32,452.13,461.8,42676838
2020-03-18,466.48,470.27,409.65,415.29,61181406
2020-03-19,401.13,435.68,376.5,424.12,67220048
2020-03-20,414.39,433.14,390.5,418.11,88637464
2020-03-23,376.31,397.22,362.29,365.4,50276954
2020-03-24,376.62,383.61,349.86,363.57,61057272
2020-03-25,364.88,410.81,357.68,405.75,47228042
2020-03-26,412.07,444.08,398.29,426.75,57043156
2020-03-27,447.52,468.21,413.02,428.34,55235936
2020-03-30,416.76,420.07,392.13,393.86,39268444
2020-03-31,404.35,413.73,396.87,408.19,35211092
2020-04-01,409.11,409.11,388.34,392.91,29103504
2020-04-03,399.23,399.71,383.61,385.43,34996280
2020-04-07,413.92,429.69,400.35,424.38,60412638
2020-04-08,416.73,447.54,410.17,420.97,56219352
2020-04-09,432.39,440.86,421.49,438.09,44457146
2020-04-13,442.33,448.35,419.69,424.03,34158056
2020-04-15,440.67,440.67,399.23,408.85,57978752
2020-04-16,409.65,421.82,405.51,416.64,53854396
2020-04-17,433.33,435.7,420.19,431.11,55883462
2020-04-20,450.38,455.09,442.8,447.47,66232986
2020-04-21,438.07,442.33,430.02,436.48,33178006
2020-04-22,435.3,441.86,429.69,439.77,38289354
2020-04-23,442.8,453.93,432.17,452.25,40901222
2020-04-24,441.86,453.89,438.54,444.25,33284568
2020-04-27,447.61,453.41,438.68,440.29,27421072
2020-04-28,446.97,446.97,436.65,441.1,29441436
2020-04-29,442.8,470.13,442.38,462.74,55877778
2020-04-30,474.25,482.59,469.85,474.44,43793134
2020-05-04,453.46,454.64,434.52,437.12,26722324
2020-05-05,444.23,447.07,430.04,431.65,29672858
2020-05-06,435.23,449.91,428.9,448.2,33785846
2020-05-07,445.41,446.74,436.34,438.07,21831730
2020-05-08,446.12,447.04,438.16,439.99,20807484
2020-05-11,443.75,451.8,432.86,433.71,28550784
2020-05-12,426.7,430.68,412.54,426.96,49568418
2020-05-13,450.38,454.64,436.7,439.32,44346966
2020-05-14,425.28,431.44,421.49,423.25,39554890
2020-05-15,421.73,422.63,414.39,420.62,24349628
2020-05-18,420.55,420.55,393.69,396.23,46649964
2020-05-19,407.69,410.74,391.23,393.39,47460692
2020-05-20,396.13,409.18,394.12,405.91,40014306
2020-05-21,407.97,418.65,403.64,407.07,48478908
2020-05-22,402.55,412.16,394.52,397.27,42047432
2020-05-26,405.86,412.85,401.96,403.69,38005152
2020-05-27,407.24,430.87,405.94,427.96,56025754
2020-05-28,435.7,449.91,432.84,447.66,75488806
2020-05-29,447.07,452.28,437.33,450.69,53025166
2020-06-01,461.75,471.22,457.53,467.74,39190230
2020-06-02,467.29,475.96,461.84,474.06,41623594
2020-06-03,483.06,495.49,480.9,484.13,50546088
2020-06-04,486.87,492.03,469.37,474.39,54275882
2020-06-05,475.06,493.67,474.91,489.38,35195984
2020-06-08,502.0,505.15,476.62,481.12,49812664
2020-06-09,483.06,486.26,463.9,467.57,61844146
2020-06-10,468.85,473.52,463.26,469.73,36497730
2020-06-11,466.48,468.09,457.01,458.72,30897714
2020-06-12,439.49,467.27,439.49,465.42,42644876
2020-06-15,458.43,461.27,446.59,449.84,32009936
2020-06-16,461.75,470.72,450.86,469.04,45399970
2020-06-17,468.38,473.07,460.92,463.76,36957838
2020-06-18,464.12,485.38,460.33,483.04,40870126
2020-06-19,482.09,493.95,479.34,489.38,47877752
2020-06-22,492.27,495.35,484.86,487.2,29694474
2020-06-23,492.06,494.9,481.43,493.62,28830512
2020-06-24,496.56,500.82,487.82,488.98,39429246
